
(muy) bien | (very) good
Buenas noches. | Good evening./Good night.
Buenas tardes. | Good afternoon.
Buenos días. | Good morning.
¿Cómo estás (tú)? | How are you? (informal)
¿Cómo está (usted)? | How are you? (formal)
gracias | thank you
hola | hello
mal | bad
nada | nothing
¿Qué hay de nuevo? | What's new?
¿Qué pasa? | What's happening?
¿Qué tal? | How's it going?
regular | okay
¿Y tú? | And you? (informal)
¿Y usted? | And you? (formal)
¿Cómo se escribe…? | How do you spell…?
¿Cómo te llamas? | What's your name? (informal)
Encantado(a). | Delighted./Pleased to meet you.
Me llamo… | My name is…
Mucho gusto. | Nice to meet you.
Le presento a… | I present to you… (formal)
Te presento a… | I present to you… (informal)
Despedidas | Farewells
Adiós. | Goodbye.
Chao. | Bye.
Hasta luego. | See you later.
Hasta mañana. | See you tomorrow.
Hasta pronto. | See you soon.
¡Nos vemos! | See you!
¡Que tengas un buen día! | Have a good day!
El salón de clases | Classroom
la bandera | flag
el bolígrafo | pen
el cartel | poster
la computadora | computer
el cuaderno | notebook
el diccionario | dictionary
el escritorio | desk
el (la) estudiante | student
el lápiz | pencil
el libro | book
el mapa | map
la mesa | table
la mochila | backpack
el papel | paper
la pizarra | whiteboard
el (la) profesor(a) | teacher
la puerta | door
el pupitre | student desk
el reloj | clock
el salón de clases | classroom
la silla | chair
el televisor | television
la ventana | window
Palabras interrogativas | Interrogative words
¿Dónde? | Where?
¿Cuándo? | When?
¿Cuántos(as)? | How many?
¿Qué? | What?
¿Quién? | Who?
¿Por qué? | Why?
¿De dónde eres tú? | Where are you from? (informal)
hay | there is/there are
Yo soy de… | I am from…
aburrido(a) | boring
agresivo(a) | aggressive
amable | kind
antipático(a) | unfriendly
atlético(a) | athletic
bueno(a) | good
cariñoso(a) | affectionate
cómico(a) | funny
conservador(a) | conservative
cruel | cruel
egoísta | selfish
famoso(a) | famous
generoso(a) | generous
honesto(a) | honest
idealista | idealistic
impaciente | impatient
inteligente | intelligent
interesante | interesting
liberal | liberal
malo(a) | bad
optimista | optimistic
paciente | patient
perezoso(a) | lazy
pesimista | pessimistic
pobre | poor
realista | realistic
rico(a) | rich
serio(a) | serious
simpático(a) | nice
sociable | sociable
tímido(a) | shy
tonto(a) | silly
trabajador(a) | hardworking
alto(a) | tall
bajo(a) | short
bonito(a) | pretty
calvo(a) | bald
delgado(a) | thin
feo(a) | ugly
gordo(a) | fat
grande | big
guapo(a) | good-looking
joven | young
moreno(a) | brunette
pelirrojo(a) | red-haired
pequeño(a) | small
rubio(a) | blond
viejo(a) | old
corto(a) | short
difícil | difficult
fácil | easy
largo(a) | long
nuevo(a) | new
ser | to be
el hombre | man
la mujer | woman
muy | very
el (la) niño(a) | child
pero | but
un poco | a little
también | also
y | and
