
el anillo | ring
las bodas de oro | golden anniversary
las bodas de plata | silver anniversary
la ceremonia | ceremony
la cita | date
el compromiso | engagement
el divorcio | divorce
el estado civil | marital status
la luna de miel | honeymoon
la madrina | godmother
el noviazgo | courtship
el padrino | godfather
la pareja | couple
el (la) prometido(a) | fiancé(e)
la recepción | reception
el (la) recién casado(a) | newlywed
soltero(a) | single
la unión libre | living together
viudo(a) | widowed
abrazar | to hug
amar | to love
comprometerse (con) | to get engaged (to)
dar a luz | to give birth
desear | to wish
divorciarse (de) | to divorce
enamorarse (de) | to fall in love (with)
esperar | to wait
estar embarazada | to be pregnant
extrañar (a) | to miss
insistir (en) | to insist (on)
llevarse (bien/mal) | to get along (well/badly)
mandar | to send
nacer | to be born
odiar | to hate
proponer matrimonio | to propose marriage
querer | to want
romper (con) | to break up (with)
separarse (de) | to separate (from)
sugerir (ie) | to suggest
la adolescencia | adolescence
la juventud | youth
la madurez | maturity
la muerte | death
el nacimiento | birth
la niñez | childhood
la vejez | old age
la comedia | comedy
el drama | drama
el documental | documentary
la telenovela | soap opera
el programa de horror | horror program
el programa de misterio | mystery program
el programa deportivo | sports program
el programa de telerrealidad | reality show
la audiencia (infantil) | (children's) audience
el conductor | host
el control remoto | remote control
el documental | documentary
los dibujos animados | cartoons
el (la) locutor(a) | announcer
el noticiario | news program
el programa de concursos | game show
el reproductor de DVD | DVD player
la telenovela | soap opera
el televidente | viewer
la aplicación | app
los audífonos | headphones
el buscador | search engine
el MP3 | MP3 player
la pantalla | screen
el ratón | mouse
las redes sociales | social media
el teclado | keyboard
la tableta | tablet
la butaca | armchair
el éxito de taquilla | blockbuster
las golosinas | candies
las palomitas de maíz | popcorn
censurar | to censor
chatear | to chat
hacer clic (en) | to click (on)
limitar | to limit
temer | to fear
transmitir | to broadcast
transmitir en directo | to live-stream
el (la) adolescente | teenager
el (la) adulto(a) | adult
el canal | channel
la clasificación | rating
la revista | magazine
