
acostarse (ue) | to go to bed
afeitarse | to shave
arreglarse | to get ready
bañarse | to take a bath
cepillarse | to brush
despertarse (ie) | to wake up
divertirse (ie) | to have fun
dormirse (ue) | to fall asleep
ducharse | to take a shower
estirarse | to stretch
irse | to leave
lavarse | to wash
levantarse | to get up
maquillarse | to put on makeup
peinarse | to comb
ponerse (la ropa) | to put on (clothes)
quitarse (la ropa) | to take off (clothes)
secarse | to dry
sentarse (ie) | to sit down
verse | to see oneself
vestirse (i) | to get dressed
la boca | mouth
el brazo | arm
la cabeza | head
la cara | face
el codo | elbow
el cuello | neck
el dedo | finger
el dedo (del pie) | toe
el diente | tooth
la espalda | back
el estómago | stomach
el hombro | shoulder
la mano | hand
el muslo | thigh
la nariz | nose
el ojo | eye
la oreja | ear
el pecho | chest
el pelo | hair
el pie | foot
la pierna | leg
la rodilla | knee
el tobillo | ankle
a menudo | often
a veces | sometimes
ahora | now
antes de + infinitive | before (doing something)
después de + infinitive | after (doing something)
hoy | today
luego | later
mañana | tomorrow
más tarde | later
mientras | while
normalmente | normally
(casi) nunca | (almost) never
pronto | soon
(casi) siempre | (almost) always
todavía | still
todos los días | every day
ya | already
ya no | no longer
el cepillo (de dientes) | brush (toothbrush)
el champú | shampoo
el cuerpo | body
el despertador | alarm clock
el jabón | soap
la pasta de dientes | toothpaste
tarde | late
temprano | early
la toalla | towel
el alpinismo | mountaineering
el atletismo | track and field
el bádminton | badminton
el básquetbol | basketball
el béisbol | baseball
el fútbol | soccer
el fútbol americano | football
el golf | golf
la natación | swimming
el tenis | tennis
el voleibol | volleyball
el equipo | team
los patines | skates
la pelota | ball
la raqueta | racket
la red | net
el saco de dormir | sleeping bag
la tienda de campaña | tent
acampar | to camp
andar en bicicleta | to ride a bike
bucear | to scuba dive
esquiar en el agua | to water ski
esquiar en tabla | to snowboard
hacer alpinismo | to go mountaineering
ir de excursión | to go on a hike
ir de pesca | to go fishing
jugar al ping-pong | to play ping-pong
levantar pesas | to lift weights
montar a caballo | to ride a horse
patinar | to skate
patinar en hielo | to ice skate
pescar | to fish
el (la) aficionado(a) | fan
anoche | last night
ayer | yesterday
el campo | field
la cancha | court
la entrada | ticket
el (la) jugador(a) | player
el lago | lake
el partido | match/game
la semana pasada | last week
