
la basura | trash
el bote de basura | trash can
el cortacésped | lawn mower
la escoba | broom
el jabón para platos | dish soap
la manguera | hose
la plancha | iron
los quehaceres | chores
el sacudidor | duster
la tabla de planchar | ironing board
el trapeador | mop
el trapo | rag
barrer | to sweep
colgar (ue) | to hang
cortar (el césped) | to cut (the grass)
guardar | to put away
hacer la cama | to make the bed
lavar platos | to wash dishes
lavar ropa | to wash clothes
ordenar | to tidy up
pasar la aspiradora | to vacuum
planchar | to iron
poner la mesa | to set the table
recoger (la mesa) | to clear (the table)
regar (ie) | to water
sacar la basura | to take out the trash
sacudir | to dust
secar | to dry
trapear | to mop
desordenado(a) | messy
limpio(a) | clean
ordenado(a) | tidy
sucio(a) | dirty
el ajedrez | chess
el carrito | toy car
las cartas | cards
el chiste | joke
el cuento | story
la cuerda | rope
las damas | checkers
el dominó | dominoes
las escondidas | hide and seek
la historieta | comic strip
el juego de mesa | board game
el juguete | toy
la motocicleta | motorcycle
la (el) muñeca(o) | doll
el osito de peluche | teddy bear
la patineta | skateboard
el rompecabezas | puzzle
el videojuego | video game
aburrir | to bore
andar en | to ride
caer (bien / mal) | to get along (well / badly)
chatear | to chat
contar (ue) | to tell
cuidar a (niños) | to take care of (children)
dibujar | to draw
encantar | to love
fascinar | to fascinate
hacer jardinería | to do gardening
importar | to matter
interesar | to interest
ir de paseo | to go for a walk
jugar a los bolos | to go bowling
jugar a las escondidas | to play hide and seek
molestar | to bother
mostrar (ue) | to show
navegar en Internet | to surf the Internet
pasar tiempo con | to spend time with
pelear | to fight
portarse (bien / mal) | to behave (well / badly)
prestar | to lend
salir a + infinitive | to go out to (do something)
saltar la cuerda | to jump rope
tejer | to knit
tocar (el piano / la guitarra) | to play (the piano / the guitar)
trepar (un árbol) | to climb (a tree)
volar una cometa | to fly a kite
la niñera | babysitter
el permiso | permission
el piano | piano
el (teléfono) celular | cellphone
