
los banderines | banners
los bocadillos | snacks
el brindis | toast
el champán | champagne
las decoraciones | decorations
el desfile | parade
los dulces | sweets
el festejo | celebration
los fuegos artificiales | fireworks
los globos | balloons
el grupo de música | music group
la invitación | invitation
el invitado | guest
los novios | bride and groom
el pastel | cake
la piñata | piñata
la quinceañera | quinceañera
el regalo | gift
la serenata | serenade
la vela | candle
el aniversario | anniversary
el bautizo | baptism
la boda | wedding
la graduación | graduation
las posadas | Christmas processions
los quince años | fifteenth birthday
el santo | saint's day
besar | to kiss
brindar | to make a toast
casarse (con) | to get married (to)
celebrar | to celebrate
cumplir años | to have a birthday
decorar | to decorate
disfrutar | to enjoy
escoger | to choose
romper | to break
terminar | to finish
la acera | sidewalk
la ambulancia | ambulance
la camilla | stretcher
la carretera | highway
el (la) ciclista | cyclist
el coche | car
el (la) conductor(a) | driver
el cruce | crossing
la esquina | corner
el límite de velocidad | speed limit
la multa | fine
el paramédico | paramedic
el parquímetro | parking meter
la patrulla | patrol car
el peatón (la peatona) | pedestrian
el poste | pole
el puente | bridge
el semáforo | traffic light
la señal | sign
el servicio de emergencia | emergency service
el (la) testigo | witness
aburrirse | to get bored
alegrarse | to become happy
asustarse | to get scared
atravesar (ie) | to cross
atropellar | to run over
bajar de | to get off
caer(se) | to fall
chocar (con) | to crash (into)
cruzar | to cross
dañar | to damage
distraerse | to get distracted
enojarse | to get angry
esperar | to wait
estacionarse | to park
frustrarse | to get frustrated
pararse | to stop
pasarse un semáforo en rojo | to run a red light
pasarse una señal de PARE | to run a stop sign
sentirse | to feel
sorprenderse | to be surprised
subir a | to get on
tropezar (ie) | to trip
de repente | suddenly
estar dañado(a) | to be damaged
estar herido(a) | to be injured
